Datum;Beginn;Ende;Ort;ID;Format;Titel_Session;Chair;Titel_Beitrag;Autorin/Autor_1;Affilation_1;Land_1;Autorin/Autor_2;Affilation_2;Land_2;Autorin/Autor_3;Affilation_3;Land_3;Autorin/Autor_4;Affilation_4;Land_4;Autorin/Autor_5;Affilation_5;Land_5;Autorin/Autor_6;Affilation_6;Land_6;Autorin/Autor_7;Affilation_7;Land_7;Autorin/Autor_8;Affilation_8;Land_8;Autorin/Autor_9;Affilation_9;Land_9;Autorin/Autor_10;Affilation_10;Land_10;Zusammenfassung
26.03.2019;11:00;12:30;P12;Workshop_108;Workshop;;;Workshop Automatic Text and Feature Recognition: Mit READ Werkzeugen Texte erkennen und Dokumente analysieren;Tobias Hodel;Staatsarchiv des Kantons Zürich;Schweiz;Markus Diem;Computer Vision Lab Technische Universität Wien;Österreich;Sofia Oliviera Ares;Digital Humanities Lab Ã‰cole polytechnique fédérale de Lausanne;Schweiz;Max Weidemann;Citlab Universität Rostock;Deutschland;;;;;;;;;;;;;;;;;;;Der Workshop führt in die im Rahmen von READ (Recognition and Enrichment of Archival Documents) entwickelten Werkzeuge ein. Neben der bereits gut eingeführten Plattform Transkribus, werden spezielle Aspekte nämlich die Erkennung von Tabellen, das Training von Handschriftenmodellen und die Identifikation von visuellen Features (Seitenzahlen, Initialen, Überschriften etc.) demonstriert. Die Teilnehmenden können während dem Workshop eigene Schwerpunkte wählen und werden von ExpertInnen betreut.Ziel ist die Vermittlung der Fähigkeiten der Tools für eigene Forschungs- und Aufbereitungsarbeiten.
26.03.2019;11:00;12:30;Musiksaal;Workshop_209;Workshop;;;Workshop Wissenschaftliches Bloggen mit de.hypotheses;Mareike König;Deutsches Historisches Institut Paris;Frankreich;Ulla Menke;Max Weber Stiftung;Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;Der Workshop vermittelt Grundlagen des geisteswissenschaftlichen Bloggens. Nach einem kurzen einführenden Teil rund um aktuelle Praktiken, deren Einordnung in die wissenschaftliche Publikationslandschaft und die Entwicklung einer Strategie für das eigene Wissenschaftsblog werden in einem Praxisteil technische, organisatorische und rechtliche Grundlagen wie z.B. Einrichten des Blogs, Navigation, Kategorien, Schlagwörter, Lizenzierung eigener Inhalte, Nutzung fremder Inhalte vermittelt. Teilnehmende können das Gelernte direkt an einem für sie aufgesetzten Wordpress-Schulungsblog üben und vollziehen die einzelnen Schritte von der Formulierung einer guten Überschrift, einer sinnvollen Navigation und Kategorienbildung bis hin zum Einbetten von Videos und zum Vernetzen mit der Fachcommunity mit. 
26.03.2019;11:00;12:30;02-521;Workshop_132;Workshop;;;Workshop Fortsetzung: Qualitätsstandards und Interdisziplinarität in der Kuration audiovisueller (Sprach-)Daten;Thomas Schmidt;Institut für Deutsche Sprache;Deutschland;Jonathan Blumtritt;Data Center for the Humanities Universität zu Köln;Deutschland;Hanna Hedeland;Hamburger Zentrum für Sprachkorpora Universität Hamburg;Deutschland;Jan Gorisch;Institut für Deutsche Sprache;Deutschland;Felix Rau;Data Center for the Humanities Universität zu Köln;Deutschland;Kai Wörner;Hamburger Zentrum für Sprachkorpora Universität Hamburg;Deutschland;;;;;;;;;;;;;Der Workshop setzt eine Reihe fort, die mit dem Workshop “Nachhaltigkeit von Workflows zur Datenkuratierung” auf der FORGE 2016 begonnen und bei der DHd-Tagung 2018 mit dem Workshop “Nutzerunterstützung und neueste Entwicklungen in Forschungsdatenrepositorien für audiovisuelle (Sprach-)Daten” weitergeführt wurde. Er richtet sich an Personen, die in Archiven und Datenzentren mit dem Forschungsdatenmanagement audiovisueller Sprachdaten zu tun haben, sowie an Forschende, Lehrende und Studierende, die in ihrer akademischen Tätigkeit mit solchen Daten arbeiten.Der Fokus des Workshops liegt auf Qualitätsstandards für audiovisuelle Sprachdaten vor dem Hintergrund, dass bei deren Nachnutzung interdisziplinäre Perspektiven eine zunehmend wichtige Rolle spielen. Archive und Datenzentren müssen sich der Herausforderung stellen, ihre Qualitätsstandards für die Kurationsarbeit vor diesem Hintergrund neu zu bewerten und weiter zu entwickeln. Der Wert einer gegebenen Ressource mag unter Berücksichtigung ihres Potentials zur interdisziplinären Nachnutzung anders beurteilt werden, und es kann notwendig werden, technische Standards der Datenrepräsentation oder Instrumente zur Dissemination an dieses Potential anzupassen.
26.03.2019;11:00;12:30;Akademie der Wissenschaften und der Literatur | Mainz;Workshop_266;Workshop;;;Workshop Fortsetzung: Graphentechnologien in den Digital Humanities;Julian Jarosch;Akademie der Wissenschaften und der Literatur | Mainz;Deutschland;Andreas Kuczera;Akademie der Wissenschaften und der Literatur | Mainz;Deutschland;Torsten Schrade;Akademie der Wissenschaften und der Literatur | Mainz;Deutschland;Tariq Yousef;Akademie der Wissenschaften und der Literatur | Mainz;Deutschland;;;;;;;;;;;;;;;;;;;Graphtechnologien bieten insbesondere in den DH neue Perspektiven zur Aufbereitung und Analyse von heterogenen Daten. Viele bestehende XML-Forschungsdaten enthalten bereits implizit semantische Aussagen, die als Graph gelesen, mit weiteren Datenbeständen synthetisiert, und zusammen analysiert werden können. Inzwischen existieren Werkzeuge, die verschiedene Zugriffe auf dieses Potential zugänglich machen – von der deskriptiven Extraktion von RDF aus XML bis zur verlustlosen Migration von Datenbeständen zu text-as-a-graph. Dieser Workshop bietet eine praktische Einführung in vier Werkzeuge, die X-Technologien und Graphtechnologien einander näher bringen.
26.03.2019;20:00;22:00;HZ1;;;;;Eröffnung der DHd 2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Feierliche Eröffnung der 6. Jahrestagung des Verbands Digital Humanities im deutschsprachigen Raum unter dem Oberthema „Digitale Humanities: multimedial & multimodal“ mit Grußworten von den Hochschulleitungen, der Dhd und dem Programmkomitee und Keynote [eventuell INTRALINK]. 
Empfang mit Fingerfood in der Lobby des PA-Gebäudes LINK UMAP. 
Teilnahme nach Anmeldung via conftool LINK"
26.03.2019;21:00;22:00;HZ1;;Keynote;;;Keynote Avancierte Methoden der computer-gestützten ästhetischen Filmanalyse;Barbara Flückiger;Seminar für Filmwissenschaft Universität Zürich;Schweiz;;;;;;;;;;;;;;;;;;;;;;;;;;;;Audio-visuelle Bewegtbilder stellen hohe Anforderung an computer-gestützte Verfahren, einerseits wegen der Komplexität das Materials, andererseits wegen der hohen Dichte an audio-visuellen Informationen, die sie enthalten. Diese Anforderungen werden noch entschieden gesteigert, wenn es um ästhetische Dimensionen und die Identifikation von stilistischen Nuancen geht. Genau eine solche Zielsetzung steht im Zentrum des Forschungsprojekts ERC Advanced Grant FilmColors, um mit digitalen Werkzeugen den Zusammenhang zwischen technischen Verfahren des Farbfilms und stilistischen Mustern systematisch anhand eines großen Korpus systematisch zu untersuchen. Auf der Basis eines Workflows aus Video-Annotation und manueller Analyse entstanden automatische Ansätze mit Deep Learning Tools, welche diese Aufgaben möglichst weitgehend übernehmen und die Ergebnisse in überzeugender Art und Weise visualisieren.  Grundlagenforschung, Primär- und Sekundärquellen zur Technik, Ã„sthetik, Analyse, Messung und Restaurierung / Digitalisierung von Filmfarben werden seit 2012 in der interaktiven Web-Plattform Timeline of Historical Film Colors http://zauberklang.ch/filmcolors/ publiziert.
27.03.2019;09:00;10:30;HZ3;;Session;Session Objekt - Raum - Zeit;Sander Münster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.03.2019;09:00;10:30;HZ3;Vortrag_288;Vortrag;;;Vortrag HistoGIS: Vom Punkt zur Fläche in Raum und Zeit;Matthias Schlögl;Österreichische Akademie der Wissenschaften;Österreich;Peter Paul Marckhgott-Sanabria;Österreichische Akademie der Wissenschaften;Österreich;Peter Andorfer;Österreichische Akademie der Wissenschaften;Österreich;Anna Piechl;Österreichische Akademie der Wissenschaften;Österreich;Antonia Dückelmann;Österreichische Akademie der Wissenschaften;Österreich;;;;;;;;;;;;;;;;Geographische Angaben können in historischen Kontexten nicht als simple 2-dimensionale Daten (Längen- und Breitengrade) verstanden werden. Orte haben immer eine historisch-politische Komponente die mit momentan zur Verfügung stehenden Mitteln selbst für das frühe 20. Jhdt. nur mit nicht unerheblichen Aufwand in ein DH-Projekt inkludiert werden kann. HistoGIS will sich dieses Problems annehmen indem es ein Repository historischer, zeitlich verorteter Shapefiles anbietet (hauptsächlich aus schon vorhandenen Daten) und RestAPIs zur historischen Anreicherung vorhandener Punktdaten anbietet: In welchen administrativen Einheiten lag Punkt X/Y zum Zeitpunkt Z? Im Gegensatz zu einem klassischen Gazetteer setzt das Projekt dabei auf Polygondaten und ein innovatives Datenmodell.
27.03.2019;09:00;10:30;HZ3;Vortrag_146;Vortrag;;;Vortrag Historic Building Information Modeling (hBIM) und Linked Data – Neue Zugänge zum Forschungsgegenstand objektorientierter Fächer;Piotr Kuroczy?ski;Hochschule Mainz – University of Applied Sciences;Deutschland;Julia Brandt;Hochschule Mainz – University of Applied Sciences;Deutschland;Karolina Jara;Hochschule Mainz – University of Applied Sciences;Deutschland;Peggy Große;Germanisches Nationalmuseum Nürnberg;Deutschland;;;;;;;;;;;;;;;;;;;Die Entwicklung der I+K Technologien forcieren die digitale Erfassung unserer räumlichen Umwelt. Bei den objektorientierten Fächern, wie Archäologie, Kunst- und Architekturgeschichte, stellt die CIDOC CRM-Entität E24 Physical Man-Made Thing den zentralen Forschungsgegenstand dar, der verstärkt digital erfasst und in einem größeren Kontext gestellt wird.Die quellenbasierte digitale 3D-Rekonstruktion nicht (mehr) vorhandener Objekte ist eine naheliegende Arte und Weise, auf die man sich dem Forschungsobjekt nähern kann. Auf der anderen Seite stellt sie eine hohe Anforderung an die Wissenschaftlichkeit. Es fehlt an einer etablierten digitalen Methodik, die eine wissenschaftliche Qualitätssicherung, Interoperabilität, Nachvollziehbarkeit und Nachhaltigkeit der Datensätze gewährleisten würde.Der Beitrag möchte der Frage nach dieser neuen Methodik für die computergestützte 3D-Rekonstruktion nachgehen, in dem die Erfahrungen aus der Building Information Modeling-Methode im Bauwesen mit virtuellen Forschungsumgebungen und geisteswissenschaftlichen Fragestellungen an ein Bauwerk und seinen soziokulturellen Kontext am Beispiel der 1938 zerstörten Synagoge am Anger in Breslau gekoppelt werden. 
27.03.2019;09:00;10:30;HZ3;Vortrag_162;Vortrag;;;Vortrag Wissenschaftliche Rezeption digitaler 3D-Rekonstruktionen von historischer Architektur;Heike Messemer;Julius-Maximilians-Universität Würzburg;Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;Digitale 3D-Rekonstruktionen von historischer Architektur werden seit über 30 Jahren im wissenschaftlichen Kontext erstellt und als Präsentationsmedien und Forschungswerkzeuge verwendet. Sie tragen nicht nur dazu bei, Erkenntnisse und Hypothesen zu einem Bauwerk zu visualisieren, sondern sie können auch im Laufe des Erstellungsprozesses neue Forschungsfragen aufwerfen sowie neue Erkenntnisse befördern. Insofern stellen sie vor dem Hintergrund der Digital Humanities ernstzunehmende Forschungsbeiträge dar, die entsprechend wissenschaftlich rezipiert werden sollten. Allerdings zeigt sich bei der kunsthistorischen Analyse von Projekten zur digitalen Rekonstruktion von historischer Architektur, dass nicht immer eine Rezeption der 3D-Modelle in der Wissenschaftscommunity erfolgt, beispielsweise bei einer späteren Rekonstruktion desselben Bauwerks. Anhand von zwei Beispielen wird dies veranschaulicht, wobei mögliche Ursachen erörtert und Lösungsmöglichkeiten vorgeschlagen werden. Ziel ist es, damit zur Erhöhung der internationalen Sichtbarkeit und Rezeption von wissenschaftlichen 3D-Rekonstruktionen in der Wissenschaftscommunity beizutragen und so einen disziplinübergreifenden Diskurs anzuregen. 
27.03.2019;09:00;10:30;HZ4;;Session;Session Text und Visualisierung;Anne Klammt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.03.2019;09:00;10:30;HZ4;Vortrag_256;Vortrag;;;Vortrag Skalierbare Exploration. Prototypenstudie zur Visualisierung einer Autorenbibliothek am Beispiel der ”ºHandbibliothek Theodor Fontanes”¹;Mark-Jan Bludau;Urban Complexity Lab Fachhochschule Potsdam;Deutschland;Viktoria Brüggemann;Urban Complexity Lab Fachhochschule Potsdam;Deutschland;Marian Dörk;Urban Complexity Lab Fachhochschule Potsdam;Deutschland;Kristina Genzel;Potsdam;Deutschland;Klaus-Peter Möller;Theodor-Fontane-Archiv Universität Potsdam;Deutschland;Sabine Seifert;Theodor-Fontane-Archiv Universität Potsdam;Deutschland;Peer Trilcke;Theodor-Fontane-Archiv Universität Potsdam;Deutschland;;;;;;;;;;Der Beitrag stellt einen vom Theodor-Fontane-Archiv der Universität Potsdam in Kooperation mit der Fachhochschule Potsdam entwickelten Prototyp zur explorier- und skalierbaren Visualisierung einer Autor*innenbibliothek und der darin enthaltenen Lektürespuren vor. Ziel ist die Verbindung gestaltungsorientierte Ansätze zur Visualisierung kultureller Sammlungen mit philologisch-, archiv- und bibliothekswissenschaftlichen Forschungsfragen.Das im Projekt entwickelte Visualisierungskonzept legt einen besonderen Fokus auf die kontinuierliche, auf mehreren Granularitätsebenen zoom- und filterbare Navigation innerhalb einer Autorenbibliothek, die die Erkundung einzelner Objekte ebenso zulässt wie deren Vergleich. Die Erfahr- und Erfassbarkeit der Sammlung als Ganzes und der sich in ihr abbildenden Lektüre- und Benutzungsmuster stehen dabei ebenso im Zentrum wie Zugänge zu Einzelphänomenen.
27.03.2019;09:00;10:30;HZ4;Vortrag_138;Vortrag;;;Vortrag Vom Text zum Bild und wieder zurück;Maria Christoforaki;Universität Passau;Deutschland;Bernhard Bermeitinger;Universität Passau;Deutschland;Simon Donig;Universität Passau;Deutschland;Siegfried Handschuh;Universität St. Gallen;Schweiz;;;;;;;;;;;;;;;;;;;Mit diesem Beitrag präsentieren wir einen multimodalen Zugang, der den Klassifizierungs- und Analyseprozess von Bilddaten verbessern soll. Dabei führen wir semantischen Kontext in den Prozess der automatisierten Bildanalyse ein.Hierzu stellen wir eine neue Kombination von Deep-Learning Techniken von Bildmerkmalen mit Verfahren aus dem Bereich der Distributional Semantics vor, die gewöhnlich im NLP zum Einsatz kommen. Wir präsentieren die Forschungshypothese und die bislang vorliegenden Ergebnisse auf einem Bild- und Textkorpus, der Teil des Neoclassica-Rahmenwerks ist. Dieser Ansatz steht im Kontext unseres Bemühens, die automatisierte Analyse und Semantisierung von Raumkunst in Bildwerken zu verbessern, welche klassizistische Interieurs zeigen.
27.03.2019;09:00;10:30;HZ4;Vortrag_275;Vortrag;;;Vortrag Social Media, YouTube und Co: Multimediale, multimodale und multicodierte Dissemination von Forschungsmethoden in forTEXT;Mareike Schumacher;Universität Hamburg;Deutschland;Jan Horstmann;Universität Hamburg;Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;Die Bedeutung von Social Media in den DH als Gegenstand der Analyse (Gao et al. 2018, Reid 2011) als auch zunehmend für die Dissemination von Forschungsergebnissen (Ross 2012) wächst. Vor allem in Blogs und Twitter wurde großes Potential für Diskussionen und die Verbreitung von Ergebnissen erkannt (Puschmann/Bastos 2015, Terras 2012). Auch in der Wissenschaftskommunikation zeigt sich die Relevanz von Webmedien (Brossard 2013, 14096–14101) und ihr besonderer Beitrag zur „scientific literacy” (Schäfer 2017, 283). Generell bietet (informelle) Wissenschaftskommunikation über Webmedien noch viel ungenutztes Potential (Schäfer 2017, 279–280, Neuberger 2014, Voigt 2012).Unser Beitrag zeigt, wie eine multimediale und multimodale webbasierte Strategie die Dissemination von Digital-Humanities-Methoden unterstützen und die Wissenschaftskommunikation des Forschungsfeldes stärken kann. Die quantitative Analyse der Erfolge dieser Strategie lässt Rückschlüsse darauf zu, welche Methode wem wie vermittelt werden sollte und bildet daher eine wichtige Basis für die Konzeption von Forschungsprojekten und der universitären Lehre.
27.03.2019;09:00;10:30;HZ5;;Session;Session Korpora;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.03.2019;09:00;10:30;HZ5;Vortrag_134;Vortrag;;;Vortrag Das Redewiedergabe-Korpus;Annelen Brunner;Institut für Deutsche Sprache;Deutschland;Lukas Weimer;Julius-Maximilians-Universität Würzburg;Deutschland;Ngoc Duyen Tanja Tu;Institut für Deutsche Sprache;Deutschland;Stefan Engelberg;Institut für Deutsche Sprache;Deutschland;Fotis Jannidis;Julius-Maximilians-Universität Würzburg;Deutschland;;;;;;;;;;;;;;;;In diesem Beitrag wird das Redewiedergabe-Korpus (RW-Korpus) vorgestellt, ein historisches Korpus fiktionaler und nicht-fiktionaler Texte, das eine detaillierte manuelle Annotation mit Redewiedergabeformen enthält. Das Korpus entsteht im Rahmen eines laufenden DFG-Projekts und ist noch nicht endgültig abgeschlossen, jedoch ist für Frühjahr 2019 ein Beta-Release geplant, welches der Forschungsgemeinschaft zur Verfügung gestellt wird. Das endgültige Release soll im Frühjahr 2020 erfolgen. Das RW-Korpus stellt eine neuartige Ressource für die Redewiedergabe-Forschung dar, die in dieser Detailliertheit für das Deutsche bisher nicht verfügbar ist, und kann sowohl für quantitative linguistische und literaturwissenschaftliche Untersuchungen als auch als Trainingsmaterial für maschinelles Lernen dienen.
27.03.2019;09:00;10:30;HZ5;Vortrag_150;Vortrag;;;Vortrag Programmable Corpora – Die digitale Literaturwissenschaft zwischen Forschung und Infrastruktur am Beispiel von DraCor;Frank Fischer;Higher School of Economics Moskau;Russland;Ingo Börner;Universität Wien;Österreich;Mathias Göbel;Wirtschaftsuniversität Wien;Österreich;Angelika Hechtl;Niedersächsische Staats- und Universitätsbibliothek Göttingen;Deutschland;Christopher Kittel;Karl-Franzens-Universität Graz;Österreich;Carsten Milling;Berlin;Deutschland;Peer Trilcke;Theodor-Fontane-Archiv Universität Potsdam;Deutschland;;;;;;;;;;Obwohl sich infrastrukturell einiges getan hat, ist der Hauptoperationsmodus der digitalen Literaturwissenschaft immer noch der, eine bestimmte Forschungsmethode auf ein oft nur ephemeres Korpus anzuwenden. Im besten Fall ist das Ergebnis irgendwie reproduzierbar, im schlechtesten Fall gar nicht. Im besten Fall gibt es ein offen zugängliches Korpus in einem Standardformat wie TEI, einer anderen Markup-Sprache oder zumindest als txt-Datei. Im schlechtesten Fall ist das Korpus gar nicht zugänglich, d.h., die Forschungsergebnisse müssen einfach hingenommen werden. Doch seit kurzem gibt es Anzeichen, dass sich das ändert. Einige Projekte stellen Schnittstellen zur Verfügung, über die man mannigfaltige Zugriffsmöglichkeiten auf Korpora bekommt. Eines dieser Projekte ist DraCor, eine offene Plattform zur Dramenforschung, die in diesem Vortrag vorgestellt werden soll (zugänglich unter https://dracor.org/ bzw. über die Repos und die API). DraCor transformiert vorliegende Textsammlungen zu ”ºProgrammable Corpora”¹ – ein neuer Begriff, den wir mit diesem Vortrag ins Spiel bringen möchten.
27.03.2019;09:00;10:30;HZ5;Vortrag_191;Vortrag;;;Vortrag Korpuserstellung als literaturwissenschaftliche Aufgabe;Evelyn Gius;Universität Hamburg;Deutschland;Katharina Krüger;Universität Hamburg;Deutschland;Carla Sökefeld;Universität Hamburg;Deutschland;;;;;;;;;;;;;;;;;;;;;;Die Zusammenstellung von Primärtexten zu einem Korpus ist eine gängige, aber selten problematisierte literaturwissenschaftliche Praxis. Die Gefahr von Fehlschlüssen aufgrund bestimmter, nicht bewusster Eigenschaften des Korpus ist nämlich relativ hoch und steigt sowohl mit der Größe eines Korpus als auch mit dem Grad der Automatisierung der Analyse. Deshalb muss ein besonderes Augenmerk auf die Zusammenstellung digitaler Korpora gelegt werden, um sie als literaturwissenschaftlichen Untersuchungsgegenstand nutzen zu können. Dies betrifft insbesondere den immer häufigeren Fall, in dem Korpora aus qualitativ unterschiedlichen Texten aus verschiedenen Quellen zusammengestellt werden. Im Beitrag wird exemplarisch die Zusammenstellung und Bereinigung eines Korpus beschrieben, die eine Balance zwischen der Qualität der Daten und den Aufwand bei der Korpuserstellung herzustellen versucht. 
27.03.2019;11:00;12:30;HZ3;Panel_154;Panel;;;Panel Zeitungen und Zeitschriften als multimodale, digitale Forschungsobjekte: Theorien und Methoden;Nanette Rißler-Pipka;Karlsruher Institut für Technologie;Deutschland;Dario Kampkaspar;Österreichische Akademie der Wissenschaften;Österreich;Teresa Herzgsell;Eberhard Karls Universität Tübingen;Deutschland;Jörg Lehmann;Eberhard Karls Universität Tübingen;Deutschland;Clemens Neudecker;Staatsbibliothek zu Berlin - Preußischer Kulturbesitz;Deutschland;Claudia Resch;Österreichische Akademie der Wissenschaften;Österreich;;;;;;;;;;;;;Aus den Besonderheiten der Medien Zeitung und Zeitschrift, die in den multimodalen Eigenschaften begründet sind, ergeben sich Fragestellungen, die eine Umwandlung der Originale in digitale Forschungsobjekte ebenso betreffen wie die darauf stattfindende Analyse. Das Panel gibt dazu Impulse bezüglich Theorien und Methoden, die in einer gemeinsamen Diskussion mit dem Publikum erörtert werden sollen. Die einzelnen kurzen Panelbeiträge setzen sich aus Beispielen der Forschung und Digitalisierung zusammen und werden von Akteuren aus beiden Feldern präsentiert. Gemeinsame Fragen sind: Welche für die Forschung relevanten Elemente werden im digitalen Forschungsobjekt repräsentiert? Wie können die Daten und Metadaten für die Analyse genutzt werden? Wie verändert sich die Forschung und ihre Fragestellungen durch die Arbeit am und mit dem digitalen Forschungsobjekt?
27.03.2019;11:00;12:30;HZ4;;Session;Session Analyse visueller Medien;Manuel Burghardt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.03.2019;11:00;12:30;HZ4;Vortrag_212;Vortrag;;;Vortrag Multimodale Stilometrie: Herausforderungen und Potenzial kombinatorischer Bild- und Textanalysen am Beispiel Comics;Alexander Dunst;Universität Paderborn;Deutschland;Rita Hartel;Universität Paderborn;Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;Stilometrische Untersuchungen blicken auf eine lange Tradition in der Literaturwissenschaft zurück. Im Gegensatz dazu befinden sich quantitative Untersuchungen des Stils visueller Kunst und multimodaler Medien in einem frühen Experimentierstadium. Dabei konzentriert sich die stilistische Klassifikation bisher entweder auf visuelle oder sprachliche Kanäle. Im Folgenden werden erste Untersuchungen vorgestellt, die auf Basis eines Corpus an englischsprachigen Comicbüchern – so genannten „Graphic Novels“ – visuelle und Textstilometrie kombinieren.
27.03.2019;11:00;12:30;HZ4;Vortrag_131;Vortrag;;;Vortrag Den Menschen als Zeichen lesen. Quantitative Lesarten körperlicher Zeichenhaftigkeit in visuellen Medien;Gernot Howanitz;Universität Passau;Deutschland;Erik Radisch;Universität Passau;Deutschland;Jan-Oliver Decker;Universität Passau;Deutschland;Malte Rehbein;Universität Passau;Deutschland;;;;;;;;;;;;;;;;;;;Der Vortrag präsentiert einen Zugang, der es Kulturwissenschaftlern ermöglicht, große Bild- und Videokorpora in einem Methodenmix sowohl qualitativer als auch quantitativer Verfahren zu erfassen. Jurij Lotmans (1984) semiotischen Ansätzen folgend werden menschliche (Ab-)Bilder zeichenhaft in visuellen Korpora gelesen. Als Beispielkorpus dient uns eine Sammlung von Starpostkarten aus den 1930er und 1940er Jahren. Ziel ist es, ähnlich wie bei Distant Reading-Ansätzen zu versuchen, versteckte Muster, Gemeinsamkeiten und Abweichungen „aus der Ferne“ identifizieren zu können. Um menschliche Abbildungen in visuellen Korpora möglichst umfassend analysieren zu können, schlagen wir eine dreistufige Herangehensweise vor, nämlich die Identifikation einzelner Personen, die Analyse von Körperhaltungen, sowie die Mimikerfassung. Ein zusätzliches Ziel unseres Beitrages ist es, eine nutzerfreundliche Umgebung vorzustellen, die auf Jupyter Notebooks aufbauend die niederschwellige Arbeit mit hochkomplexen Bildkorpora erlaubt.
27.03.2019;11:00;12:30;HZ4;Vortrag_159;Vortrag;;;Vortrag Grundzüge einer visuellen Stilometrie;Jochen Laubrock;Universität Potsdam;Deutschland;David Dubray;Universität Potsdam;Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;Was kennzeichnet visuellen Stil? Die Frage nach einer formalen Beschreibung hat die kunstgeschichtlichen Forschung seit ihrem Beginn umgetrieben. Neuere Entwicklungen im Bereich des maschinellen Sehens lassen nun eine formale Beschreibung visuellen Stils greifbar werden. Diese basiert auf Repräsentationen in den tieferen Schichten sogenannter Convolutional Neural Networks (CNNs). Hier zeigen wir am Beispiel einer Analyse verschiedener Corpora grafischer Literatur (Graphic Narrative Corpus, Manga109), das CNNs sich dazu eignen, stilistische Aspekte und kompositorische Aspekte wie Textur oder Layout zu repräsentieren. Durch Anpassung eines für die semantische Kategorisierung von Fotos vortrainierten XCeption-Netzes auf die Klassifikation von Illutratoren zeigen wir insbesondere, dass die Repräsentationen auf tieferen Netzwerkebenen so generisch zu sind, dass eine bloße Rekombination dieser vortrainierten Merkmale zu sehr guter Performanz in beiden Korpora führt. Wir stellen eine bildbasierte Suche vor, die auf diesen Repräsentationen basiert und zeigen Visualisierungen der diskriminativsten Merkmale auf verschiedenen Ebenen.
27.03.2019;11:00;12:30;HZ5;Panel_238;Panel;;;Panel Das Wissen in der 3D-Rekonstruktion;Sander Münster;Technische Universität Dresden;Deutschland;Piotr Kuroczy?ski;Hochschule Mainz – University of Applied Sciences;Deutschland;Heike Messemer;Julius-Maximilians-Universität Würzburg;Deutschland;Peggy Große;Germanisches Nationalmuseum Nürnberg;Deutschland;Florian Niebling;Julius-Maximilians-Universität;Deutschland;;;;;;;;;;;;;;;;"Das Panel wird gemeinsam von der Arbeitsgemeinschaft Digitale Rekonstruktion des Digital Humanities im deutschsprachigen Raum (DHd) e.V.“ und dem wissenschaftlichen Netzwerk ""Digitale 3D Rekonstruktionen als Werkzeuge der architekturgeschichtlichen Forschung"" von Netzwerk und AG ein Panel durchgeführt und soll die drei Kernpunkte der DHd-Jahrestagung 2019 – Theorie, Modellierung, Synthese – unter dem Blickwinkel der 3D-Rekonstruktion auf-greifen. Ein wesentliches Kernmerkmal von 3D-Rekonstruktionen ist, dass diese auf die Genese, Transformation und Vermittlung von Wissen abzielen. Entsprechend ist das Ziel des für die DHd-Jahrestagung 2019 geplanten Panels, insbesondere den Umgang mit Wissen vor dem Hin-tergrund eines Erkenntnis- oder Vermittlungsinteresses zu thematisieren und dabei jeweils kon-trastierende und/oder komplementäre Perspektiven darzulegen."
27.03.2019;14:00;15:30;HZ3;;Session;Session Schrift und Zeichen;Tobias Hodel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.03.2019;14:00;15:30;HZ3;Vortrag_161;Vortrag;;;Vortrag Jadescheibe oder Kreis – Reflexion über manuelle und automatisierte Erkennung von Schriftzeichen der vorspanischen Mayakultur;Christian Prager;Rheinische Friedrich-Wilhelms-Universität Bonn;Deutschland;Hubert Mara;Universität Heidelberg;Deutschland;Bartosz Bogacz;Universität Heidelberg;Deutschland;Felix Feldmann;Universität Heidelberg;Deutschland;;;;;;;;;;;;;;;;;;;"In unserem Vortrag präsentieren wir Ergebnisse einer laufenden, interdisziplinären Kooperation im Bereich digitaler Epigraphie zwischen dem Akademievorhaben ""Textdatenbank und Wörterbuch des Klassischen Maya""und einem auf Schriftforschung spezialisierten Team am Interdisciplinary Center for Scientific Computing. Im Mittelpunkt der Zusammenarbeit zwischen Schriftforschung und angewandter Informatik steht die vollautomatische Erkennung von Zeichen der Hieroglyphenschrift der Klassischen Mayakultur in 3D (Zeitraum: 250 - 900 n.Chr., Region: südliches Mexiko, Guatemala, Belize und Honduras). Wir präsentieren Methoden, Herausforderungen und Ergebnisse und zeigen am Material auf, wo Fortschritte und Durchbrüche erzielt, aber auch Grenzen der automatisierten Erkennung von Maya-Schriftzeichen festgestellt wurden."
